순번,법령명,지역명,제정·개정구분,법령종류,공포번호,공포일자,시행일자,부서
218,인천광역시부평구 사회적경제 육성 및 지원에 관한 조례,부평구,일부개정,조례,제1718호,2021. 4. 19.,2021. 4. 19.,일자리창출과
219,인천광역시 사회적경제기업 생산제품 구매촉진 및 판로개척 지원에 관한 조례,인천광역시,일부개정,조례,제6016호,2018. 11. 5.,2018. 11. 5.,
220,인천광역시 사회적경제 육성 및 지원에 관한 조례,인천광역시,일부개정,조례,제6757호,2021. 12. 30.,2022. 1. 13.,
221,인천광역시 사회적경제 육성 및 지원에 관한 조례 시행규칙,인천광역시,일부개정,규칙,제3089호,2018. 10. 8.,2018. 10. 8.,
222,인천광역시 서구 사회적경제기업 구매촉진 및 판로지원에 관한 조례,서구,제정,조례,제1716호,2019. 11. 18.,2019. 11. 18.,공동체협치과
223,인천광역시 서구 사회적경제 육성 및 지원에 관한 조례,서구,전부개정,조례,제1487호,2016. 7. 8.,2016. 7. 8.,공동체협치과
224,인천광역시 연수구 사회적경제 육성 및 지원에 관한 조례,연수구,일부개정,조례,제1400호,2021. 12. 20.,2021. 12. 20.,
225,인천광역시 중구 사회적경제 육성 및 지원에 관한 조례,중구,일부개정,조례,제1423호,2020. 12. 23.,2020. 12. 23.,일자리경제과
226,장성군 사회적경제 육성과 지원에 관한 조례,장성군,전부개정,조례,제2257호,2017. 7. 10.,2017. 7. 10.,경제교통과
227,장수군 사회적경제 육성 및 지원 조례,장수군,제정,조례,제2556호,2021. 12. 15.,2021. 12. 15.,일자리경제과
228,장흥군 사회적경제 육성 및 지원에 관한 조례,장흥군,제정,조례,제2485호,2020. 8. 14.,2020. 8. 14.,지역경제과
229,전라남도교육청 사회적경제기업 제품 구매촉진 등에 관한 조례,전라남도교육청,일부개정,조례,제5354호,2021. 7. 1.,2021. 7. 1.,재정과
230,전라남도 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,전라남도,일부개정,조례,제5345호,2021. 7. 1.,2021. 7. 1.,사회적경제과
231,전라남도 사회적경제 육성과 지원에 관한 조례,전라남도,일부개정,조례,제5503호,2021. 12. 30.,2021. 12. 30.,
232,전라남도 사회적경제 육성과 지원에 관한 조례 시행규칙,전라남도,일부개정,규칙,제3259호,2021. 5. 20.,2021. 5. 20.,사회적경제과
233,전라북도 사회적경제기금 설치 및 운용 조례,전라북도,제정,조례,제4810호,2020. 8. 14.,2020. 8. 14.,사회적경제과
234,전라북도 사회적경제 기본 조례,전라북도,일부개정,조례,제4726호,2019. 12. 31.,2019. 12. 31.,
235,전라북도 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,전라북도,제정,조례,제4728호,2019. 12. 31.,2019. 12. 31.,
236,전라북도 사회적경제 혁신타운 설치 및 운영 조례,전라북도,제정,조례,제5057호,2021. 12. 31.,2021. 12. 31.,
237,전주시 사회적경제 활성화 기본 조례,전주시,일부개정,조례,제3742호,2020. 12. 28.,2020. 12. 28.,
238,정선군 사회적경제 육성 지원 조례,정선군,일부개정,조례,제2816호,2021. 5. 27.,2021. 5. 27.,사회적경제팀
239,정읍시 사회적경제 육성 및 지원에 관한 조례,정읍시,제정,조례,제1902호,2021. 12. 24.,2021. 12. 24.,
240,제주특별자치도교육청 사회적경제기업 제품 구매 촉진에 관한 조례,제주특별자치도교육청,제정,조례,제1605호,2016. 4. 8.,2016. 4. 8.,교육재정과
241,제주특별자치도 사회적경제 기본 조례,제주특별자치도,일부개정,조례,제1781호,2016. 12. 30.,2016. 12. 30.,경제정책과
242,제주특별자치도 사회적경제 기본 조례 시행규칙,제주특별자치도,제정,규칙,제448호,2015. 6. 3.,2015. 6. 3.,경제정책과
243,제천시 사회적경제 조직의 육성 지원에 관한 조례,제천시,제정,조례,제1321호,2015. 12. 31.,2015. 12. 31.,지역공동체팀
244,진도군 사회적경제 육성과 지원에 관한 조례,진도군,일부개정,조례,제2337호,2018. 8. 20.,2018. 8. 20.,일자리투자과
245,진안군 사회적경제 기본 조례,진안군,제정,조례,제2547호,2021. 3. 31.,2021. 3. 31.,농촌활력과
246,진주시 사회적경제 육성 및 지원에 관한 조례,진주시,제정,조례,제1734호,2021. 12. 22.,2021. 12. 22.,
247,창녕군 사회적경제 육성 및 지원에 관한 조례,창녕군,제정,조례,제2639호,2021. 9. 16.,2021. 9. 16.,일자리경제과
248,창원시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,창원시,일부개정,조례,제1241호,2019. 8. 14.,2019. 8. 14.,일자리창출과(박민희)
249,창원시 사회적경제 육성 및 지원에 관한 조례,창원시,일부개정,조례,제1311호,2020. 2. 7.,2020. 2. 7.,일자리창출과(성지혜)
250,천안시 사회적경제 육성에 관한 조례,천안시,일부개정,조례,제2028호,2020. 6. 22.,2020. 6. 22.,일자리경제과
251,천안시 사회적경제제품 구매촉진 및 판로지원에 관한 조례,천안시,제정,조례,제1549호,2016. 7. 1.,2016. 7. 1.,일자리경제과
252,철원군 사회적경제 육성 지원에 관한 조례,철원군,일부개정,조례,제2447호,2018. 11. 13.,2018. 11. 13.,경제진흥과
253,청도군 사회적경제 육성 및 지원에 관한 조례,청도군,제정,조례,제2251호,2019. 1. 1.,2019. 1. 1.,경제산림과
254,청송군 사회적경제 육성 및 지원에 관한 조례,청송군,제정,조례,제2027호,2017. 12. 31.,2017. 12. 31.,미래전략과
255,청양군 사회적경제 육성 및 지원에 관한 조례,청양군,제정,조례,제2508호,2020. 12. 15.,2020. 12. 15.,사회적경제과
256,청주시 사회적경제 활성화 기본 조례,청주시,제정,조례,제1170호,2021. 9. 17.,2021. 9. 17.,일자리정책과
257,충주시 사회적경제 육성 및 지원에 관한 조례,충주시,제정,조례,제1729호,2019. 7. 19.,2019. 7. 19.,경제기업과
258,충청남도 사회적경제기금 설치 및 운용에 관한 조례,충청남도,일부개정,조례,제4804호,2020. 10. 5.,2020. 10. 5.,사회적경제과
259,충청남도 사회적경제 육성지원에 관한 조례,충청남도,일부개정,조례,제4136호,2016. 6. 8.,2016. 6. 8.,사회적경제과
260,충청남도 사회적경제 육성지원에 관한 조례 시행규칙,충청남도,일부개정,규칙,제3405호,2019. 12. 30.,2020. 1. 1.,사회적경제과
261,충청남도 사회적경제제품 구매촉진 및 판로지원에 관한 조례,충청남도,일부개정,조례,제4679호,2020. 4. 1.,2020. 4. 1.,사회적경제과
262,충청북도교육청 사회적경제기업 제품 구매촉진에 관한 조례,충청북도교육청,제정,조례,제4303호,2019. 8. 9.,2019. 8. 9.,재무과
263,충청북도 사회적경제 육성 지원에 관한 조례,충청북도,제정,조례,제4391호,2020. 5. 15.,2020. 5. 15.,
264,충청북도 사회적경제제품 구매촉진 및 판로지원에 관한 조례,충청북도,제정,조례,제4278호,2019. 7. 5.,2019. 7. 5.,
265,칠곡군 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,칠곡군,제정,조례,제2616호,2021. 11. 12.,2021. 11. 12.,일자리경제과
266,칠곡군 사회적경제 육성 및 지원에 관한 조례,칠곡군,일부개정,조례,제2615호,2021. 11. 12.,2021. 11. 12.,일자리경제과
267,태백시 사회적경제 육성 지원에 관한 조례,태백시,일부개정,조례,제1995호,2021. 7. 9.,2021. 7. 13.,경제복지국 일자리경제과
268,태안군 사회적경제 육성 및 지원에 관한 조례,태안군,일부개정,조례,제1560호,2021. 5. 31.,2021. 5. 31.,주민공동체과
269,통영시 사회적경제 활성화 및 지원에 관한 조례,통영시,제정,조례,제1432호,2019. 7. 1.,2019. 7. 1.,도시재생과
270,파주시 사회적경제 육성 및 지원에 관한 조례,파주시,전부개정,조례,제1742호,2021. 11. 12.,2021. 11. 12.,도시재생과
271,평창군 사회적경제 육성 지원에 관한 조례,평창군,전부개정,조례,제2513호,2018. 12. 28.,2018. 12. 28.,일자리경제과
272,평택시 사회적경제 육성 및 지원에 관한 조례,평택시,일부개정,조례,제1926호,2021. 2. 26.,2021. 2. 26.,미래전략관
273,포천시 사회적경제 육성 및 지원에 관한 조례,포천시,일부개정,조례,제1076호,2018. 8. 8.,2018. 8. 8.,일자리경제과
274,포항시 사회적경제 육성 및 지원에 관한 조례,포항시,제정,조례,제1536호,2017. 12. 27.,2017. 12. 27.,일자리경제노동과
275,하남시 사회적경제 육성 지원에 관한 조례,하남시,일부개정,조례,제1900호,2021. 3. 12.,2021. 3. 12.,도시재생과
276,하동군 사회적경제 육성 및 지원에 관한 조례,하동군,일부개정,조례,제2374호,2019. 8. 30.,2019. 8. 30.,기획행정국 경제전략과
277,함평군 사회적경제 육성과 지원에 관한 조례,함평군,제정,조례,제2448호,2018. 11. 15.,2018. 11. 15.,일자리경제과
278,합천군 사회적경제 육성 및 지원에 관한 조례,합천군,제정,조례,제2587호,2021. 9. 24.,2021. 9. 24.,경제교통과
279,해남군 사회적경제 육성 및 지원에 관한 조례,해남군,일부개정,조례,제2992호,2021. 3. 9.,2021. 3. 9.,혁신공동체과
280,홍성군 사회적경제기업제품 구매촉진 및 판로지원에 관한 조례,홍성군,제정,조례,제2616호,2019. 4. 15.,2019. 4. 15.,일자리지원
281,홍천군 사회적 경제 육성 지원에 관한 조례,홍천군,일부개정,조례,제2631호,2019. 10. 14.,2019. 10. 14.,일자리경제과
282,화성시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,화성시,일부개정,조례,제1868호,2022. 1. 6.,2022. 1. 6.,
283,화성시 사회적경제 육성 및 지원에 관한 조례,화성시,일부개정,조례,제1867호,2022. 1. 6.,2022. 1. 6.,
284,화성시 사회적경제지원기금 설치 및 운용 조례,화성시,일부개정,조례,제1869호,2022. 1. 6.,2022. 1. 6.,
285,화순군 사회적경제 활성화 지원에 관한 조례,화순군,일부개정,조례,제2725호,2019. 12. 11.,2019. 12. 11.,일자리정책실
286,횡성군 사회적경제 육성 지원에 관한 조례,횡성군,제정,조례,제2427호,2019. 7. 15.,2019. 7. 15.,기업경제과
