순번,법령명,지역명,제정·개정구분,법령종류,공포번호,공포일자,시행일자,부서
79,대전광역시 유성구 사회적경제 육성 지원에 관한 조례,유성구,일부개정,조례,제1647호,2021. 7. 16.,2021. 7. 16.,일자리정책실
80,대전광역시 중구 사회적경제 육성 및 지원 조례,중구,제정,조례,제1358호,2020. 4. 10.,2020. 4. 10.,경제기업과
81,동두천시 사회적 경제 육성지원에 관한 조례,동두천시,일부개정,조례,제2059호,2019. 5. 20.,2019. 5. 20.,일자리경제과
82,동해시 사회적경제 육성 및 지원에 관한 조례,동해시,제정,조례,제1925호,2017. 12. 15.,2017. 12. 15.,경제과
83,동해시 사회적경제제품 구매촉진 및 판로지원에 관한 조례,동해시,일부개정,조례,제2161호,2021. 4. 9.,2021. 4. 9.,경제과
84,목포시 사회적경제기업 제품 구매 촉진 및 판로지원에 관한 조례,목포시,제정,조례,제3535호,2021. 12. 27.,2021. 12. 27.,
85,목포시 사회적경제 활성화 조례,목포시,제정,조례,제3287호,2019. 7. 1.,2019. 7. 1.,일자리청년정책과
86,무안군 사회적경제 육성과 지원에 관한 조례,무안군,일부개정,조례,제2470호,2019. 12. 30.,2019. 12. 30.,미래성장과 일자리팀
87,문경시 사회적경제 육성 및 지원에 관한 조례,문경시,제정,조례,제1407호,2021. 4. 7.,2021. 4. 7.,
88,보령시 사회적경제 육성 및 지원에 관한 조례,보령시,일부개정,조례,제1775호,2021. 9. 30.,2021. 9. 30.,지역경제과
89,보성군 사회적경제 육성과 지원에 관한 조례,보성군,일부개정,조례,제2393호,2018. 12. 28.,2018. 12. 28.,경제산업과
90,봉화군 사회적경제 육성 및 지원에 관한 조례,봉화군,제정,조례,제2236호,2019. 11. 18.,2019. 11. 18.,새마을일자리경제과
91,부산광역시교육청 사회적경제 활성화 지원 조례,부산광역시교육청,전부개정,조례,제5961호,2019. 7. 17.,2019. 7. 17.,재정과
92,부산광역시 기장군 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,기장군,제정,조례,제1104호,2019. 8. 28.,2019. 8. 28.,일자리경제과
93,부산광역시 동구 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,동구,제정,조례,제1200호,2019. 11. 11.,2019. 11. 11.,일자리복지국 일자리경제과
94,부산광역시 동구 사회적경제 활성화 지원에 관한 조례,동구,제정,조례,제1194호,2019. 10. 1.,2019. 10. 1.,일자리복지국 일자리경제과
95,부산광역시동래구 사회적경제제품 구매촉진 및 판로지원에 관한 조례,동래구,제정,조례,제1352호,2019. 5. 24.,2019. 5. 24.,일자리창출계
96,부산광역시동래구 사회적경제 활성화 기본 조례,동래구,제정,조례,제1351호,2019. 5. 24.,2019. 5. 24.,일자리창출계
97,부산광역시 북구 사회적경제 활성화 지원 조례,북구,제정,조례,제1353호,2019. 10. 16.,2019. 10. 16.,일자리경제과
98,부산광역시 사하구 사회적경제 활성화 기본 조례,사하구,제정,조례,제1260호,2019. 9. 20.,2019. 9. 20.,일자리복지과
99,부산광역시 사회적경제기업제품 구매촉진 및 판로지원에 관한 조례,부산광역시,제정,조례,제5928호,2019. 5. 29.,2019. 5. 29.,
100,부산광역시 사회적경제 육성 및 지원에 관한 조례,부산광역시,일부개정,조례,제6515호,2021. 9. 29.,2021. 9. 29.,
101,부산광역시 서구 사회적경제제품 구매촉진 및 판로지원에 관한 조례,서구,제정,조례,제1205호,2018. 10. 31.,2018. 10. 31.,복지정책과
102,부산광역시 서구 사회적경제 활성화 기본 조례,서구,제정,조례,제1204호,2018. 10. 31.,2018. 10. 31.,복지정책과
103,부산광역시 연제구 사회적경제 활성화 및 지원에 관한 조례,연제구,일부개정,조례,제879호,2019. 10. 21.,2019. 11. 11.,일자리경제과
104,부여군 사회적경제 육성·지원에 관한 조례,부여군,일부개정,조례,제2562호,2019. 11. 6.,2019. 11. 6.,경제교통과
105,부천시 사회적경제 육성 및 지원 조례,부천시,일부개정,조례,제3482호,2019. 12. 23.,2019. 12. 23.,일자리정책과
106,부천시 사회적경제 육성 및 지원 조례 시행규칙,부천시,일부개정,규칙,제2039호,2021. 7. 26.,2021. 7. 26.,일자리정책과
107,산청군 사회적경제 활성화 및 지원에 관한 조례,산청군,제정,조례,제2406호,2019. 6. 28.,2019. 6. 28.,경제교통과 일자리창출담당
108,삼척시 사회적경제 육성 및 지원에 관한 조례,삼척시,일부개정,조례,제1317호,2020. 12. 18.,2020. 12. 18.,경제과
109,상주시 사회적경제 육성 및 지원에 관한 조례,상주시,제정,조례,제1409호,2021. 11. 19.,2021. 11. 19.,
110,서산시 사회적경제 육성 및 지원에 관한 조례,서산시,일부개정,조례,제1644호,2021. 11. 1.,2021. 11. 1.,시민공동체과
111,서산시 사회적경제제품 구매촉진 및 판로지원에 관한 조례,서산시,일부개정,조례,제1607호,2021. 8. 1.,2021. 8. 1.,시민공동체과
112,서울특별시 강남구 사회적경제 활성화 및 지원에 관한 조례,강남구,일부개정,조례,제1550호,2020. 5. 1.,2020. 7. 1.,일자리정책과 사회적경제팀
113,서울특별시 강동구 사회적경제 육성 및 지원에 관한 조례,강동구,일부개정,조례,제1557호,2020. 12. 30.,2020. 12. 30.,사회적경제과
114,서울특별시 강북구 사회적경제지원센터 운영 규정,강북구,제정,훈령,제140호,2021. 2. 19.,2021. 2. 19.,
