순번,법령명,지역명,제정·개정구분,법령종류,공포번호,공포일자,시행일자,부서
429,전주시 사회적기업 육성에 관한 조례,전주시,일부개정,조례,제3145호,2014. 12. 30.,2015. 1. 1.,
430,정선군 1인 가구 사회적 고립 및 고독사 예방에 관한 조례,정선군,제정,조례,제2860호,2021. 12. 27.,2021. 12. 27.,
431,정선군 사회적경제 육성 지원 조례,정선군,일부개정,조례,제2816호,2021. 5. 27.,2021. 5. 27.,사회적경제팀
432,정읍시 고독사 예방 및 사회적 고립가구 지원 조례,정읍시,제정,조례,제1782호,2021. 3. 15.,2021. 4. 1.,사회복지과
433,정읍시 사회적경제 육성 및 지원에 관한 조례,정읍시,제정,조례,제1902호,2021. 12. 24.,2021. 12. 24.,
434,제주특별자치도교육청 사회적경제기업 제품 구매 촉진에 관한 조례,제주특별자치도교육청,제정,조례,제1605호,2016. 4. 8.,2016. 4. 8.,교육재정과
435,제주특별자치도 사회적 가치 증대를 위한 공공조달에 관한 조례,제주특별자치도,일부개정,조례,제2009호,2018. 2. 28.,2018. 2. 28.,회계과
436,제주특별자치도 사회적경제 기본 조례,제주특별자치도,일부개정,조례,제1781호,2016. 12. 30.,2016. 12. 30.,경제정책과
437,제주특별자치도 사회적경제 기본 조례 시행규칙,제주특별자치도,제정,규칙,제448호,2015. 6. 3.,2015. 6. 3.,경제정책과
438,제주특별자치도 사회적 고립청년 밀착 지원에 관한 조례,제주특별자치도,제정,조례,제2804호,2021. 5. 20.,2021. 5. 20.,청년정책담당관
439,제주특별자치도 사회적기업 등 육성 및 지원 조례,제주특별자치도,일부개정,조례,제1781호,2016. 12. 30.,2016. 12. 30.,경제정책과
440,제주특별자치도 사회적기업 육성 및 지원 조례 시행규칙,제주특별자치도,제정,규칙,제241호,2010. 6. 9.,2010. 6. 9.,경제정책과
441,제주특별자치도 사회적 농업 육성 및 지원 조례,제주특별자치도,제정,조례,제2264호,2019. 5. 8.,2019. 5. 8.,친환경농업정책과
442,제주특별자치도 사회적 농업 육성 및 지원 조례 시행규칙,제주특별자치도,제정,규칙,제644호,2019. 9. 6.,2019. 9. 6.,친환경농업정책과
443,제주특별자치도 사회적 자본 관리 및 육성 조례,제주특별자치도,제정,조례,제1058호,2013. 7. 17.,2013. 10. 18.,자치행정과
444,제주특별자치도 사회적 취약계층을 위한 인문학서비스 지원 조례,제주특별자치도,일부개정,조례,제2163호,2018. 12. 31.,2018. 12. 31.,복지정책과
445,제천시 사회적경제 조직의 육성 지원에 관한 조례,제천시,제정,조례,제1321호,2015. 12. 31.,2015. 12. 31.,지역공동체팀
446,증평군 사회적기업 육성 및 지원에 관한 조례,증평군,일부개정,조례,제845호,2018. 12. 28.,2019. 1. 1.,행정과
447,진도군 사회적경제 육성과 지원에 관한 조례,진도군,일부개정,조례,제2337호,2018. 8. 20.,2018. 8. 20.,일자리투자과
448,진안군 사회적경제 기본 조례,진안군,제정,조례,제2547호,2021. 3. 31.,2021. 3. 31.,농촌활력과
449,진안군 사회적기업 육성 조례,진안군,일부개정,조례,제2281호,2017. 6. 30.,2017. 6. 30.,농촌활력과
450,진주시 1인 가구의 사회적 고립 및 고독사 예방 지원 조례,진주시,제정,조례,제1677호,2021. 5. 31.,2021. 5. 31.,복지정책과
451,진주시 사회적경제 육성 및 지원에 관한 조례,진주시,제정,조례,제1734호,2021. 12. 22.,2021. 12. 22.,
452,진천군 1인 가구의 사회적 고립 및 고독사 예방에 관한 조례,진천군,제정,조례,제2707호,2019. 9. 20.,2019. 9. 20.,복지행정국 주민복지과
453,진천군 사회적기업 육성 및 지원에 관한 조례,진천군,일부개정,조례,제2768호,2020. 6. 30.,2020. 6. 30.,문화경제국 경제과
454,창녕군 사회적경제 육성 및 지원에 관한 조례,창녕군,제정,조례,제2639호,2021. 9. 16.,2021. 9. 16.,일자리경제과
455,창원시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,창원시,일부개정,조례,제1241호,2019. 8. 14.,2019. 8. 14.,일자리창출과(박민희)
456,창원시 사회적경제 육성 및 지원에 관한 조례,창원시,일부개정,조례,제1311호,2020. 2. 7.,2020. 2. 7.,일자리창출과(성지혜)
457,천안시 고독사 예방 및 사회적 고립가구 안전망 확충을 위한 조례,천안시,제정,조례,제1865호,2019. 4. 11.,2019. 4. 11.,복지정책과
458,천안시 사회적경제 육성에 관한 조례,천안시,일부개정,조례,제2028호,2020. 6. 22.,2020. 6. 22.,일자리경제과
459,천안시 사회적경제제품 구매촉진 및 판로지원에 관한 조례,천안시,제정,조례,제1549호,2016. 7. 1.,2016. 7. 1.,일자리경제과
460,철원군 사회적경제 육성 지원에 관한 조례,철원군,일부개정,조례,제2447호,2018. 11. 13.,2018. 11. 13.,경제진흥과
461,청도군 사회적경제 육성 및 지원에 관한 조례,청도군,제정,조례,제2251호,2019. 1. 1.,2019. 1. 1.,경제산림과
462,청송군 사회적경제 육성 및 지원에 관한 조례,청송군,제정,조례,제2027호,2017. 12. 31.,2017. 12. 31.,미래전략과
463,청양군 사회적경제 육성 및 지원에 관한 조례,청양군,제정,조례,제2508호,2020. 12. 15.,2020. 12. 15.,사회적경제과
464,청주시 사회적경제 활성화 기본 조례,청주시,제정,조례,제1170호,2021. 9. 17.,2021. 9. 17.,일자리정책과
465,청주시 사회적기업 육성ㆍ지원에 관한 조례,청주시,일부개정,조례,제562호,2016. 11. 11.,2016. 11. 11.,일자리정책과
466,춘천시 풀뿌리 사회적기업 육성 및 지원에 관한 조례,춘천시,일부개정,조례,제1447호,2019. 7. 1.,2019. 7. 12.,사회적경제과
467,충주시 1인 가구의 사회적 고립 및 고독사 예방에 관한 조례,충주시,제정,조례,제1958호,2021. 5. 28.,2021. 5. 28.,복지정책과
468,충주시 사회적경제 육성 및 지원에 관한 조례,충주시,제정,조례,제1729호,2019. 7. 19.,2019. 7. 19.,경제기업과
469,충주시 사회적기업 육성 조례,충주시,일부개정,조례,제1254호,2014. 12. 26.,2014. 12. 26.,경제기업과
470,충청남도 고독사 예방 및 사회적 고립가구 지원 조례,충청남도,제정,조례,제4992호,2021. 7. 20.,2021. 7. 20.,사회복지과
471,충청남도교육청 사회적기업제품 구매촉진에 관한 조례,충청남도교육청,제정,조례,제3893호,2014. 3. 20.,2014. 3. 20.,재무과
472,충청남도 사회적가치 증대를 위한 공공조달에 관한 조례,충청남도,제정,조례,제4931호,2021. 4. 30.,2021. 10. 31.,운영지원과
473,충청남도 사회적경제기금 설치 및 운용에 관한 조례,충청남도,일부개정,조례,제4804호,2020. 10. 5.,2020. 10. 5.,사회적경제과
474,충청남도 사회적경제 육성지원에 관한 조례,충청남도,일부개정,조례,제4136호,2016. 6. 8.,2016. 6. 8.,사회적경제과
475,충청남도 사회적경제 육성지원에 관한 조례 시행규칙,충청남도,일부개정,규칙,제3405호,2019. 12. 30.,2020. 1. 1.,사회적경제과
476,충청남도 사회적경제제품 구매촉진 및 판로지원에 관한 조례,충청남도,일부개정,조례,제4679호,2020. 4. 1.,2020. 4. 1.,사회적경제과
477,충청남도 사회적농업 육성 및 지원에 관한 조례,충청남도,제정,조례,제4634호,2019. 12. 30.,2019. 12. 30.,농업정책과
478,충청북도교육청 사회적경제기업 제품 구매촉진에 관한 조례,충청북도교육청,제정,조례,제4303호,2019. 8. 9.,2019. 8. 9.,재무과
479,충청북도 사회적경제 육성 지원에 관한 조례,충청북도,제정,조례,제4391호,2020. 5. 15.,2020. 5. 15.,
480,충청북도 사회적경제제품 구매촉진 및 판로지원에 관한 조례,충청북도,제정,조례,제4278호,2019. 7. 5.,2019. 7. 5.,
481,충청북도 사회적기업 육성지원에 관한 조례,충청북도,일부개정,조례,제3710호,2014. 10. 31.,2014. 10. 31.,
482,충청북도 사회적기업 육성지원에 관한 조례 시행규칙,충청북도,일부개정,규칙,제2979호,2020. 6. 5.,2020. 6. 5.,
483,칠곡군 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,칠곡군,제정,조례,제2616호,2021. 11. 12.,2021. 11. 12.,
484,칠곡군 사회적경제 육성 및 지원에 관한 조례,칠곡군,일부개정,조례,제2615호,2021. 11. 12.,2021. 11. 12.,
485,태백시 사회적경제 육성 지원에 관한 조례,태백시,일부개정,조례,제1995호,2021. 7. 9.,2021. 7. 13.,경제복지국 일자리경제과
486,태안군 1인 가구의 사회적 고립 및 고독사 예방에 관한 조례,태안군,제정,조례,제1631호,2022. 2. 25.,2022. 2. 25.,
487,태안군 사회적경제 육성 및 지원에 관한 조례,태안군,일부개정,조례,제1560호,2021. 5. 31.,2021. 5. 31.,주민공동체과
488,통영시 사회적경제 활성화 및 지원에 관한 조례,통영시,제정,조례,제1432호,2019. 7. 1.,2019. 7. 1.,도시재생과
489,통영시 사회적 고립 및 외로움 방지 조례,통영시,제정,조례,제1408호,2019. 4. 26.,2019. 4. 26.,주민생활복지과
490,파주시 사회적 가치 진흥 및 지원에 관한 조례,파주시,제정,조례,제1526호,2019. 10. 4.,2019. 10. 4.,도시재생과
491,파주시 사회적경제 육성 및 지원에 관한 조례,파주시,전부개정,조례,제1742호,2021. 11. 12.,2021. 11. 12.,도시재생과
492,평창군 고독사 예방 및 사회적 고립 가구 지원에 관한 조례,평창군,제정,조례,제2667호,2020. 11. 6.,2020. 11. 6.,복지정책과
493,평창군 사회적경제 육성 지원에 관한 조례,평창군,전부개정,조례,제2513호,2018. 12. 28.,2018. 12. 28.,일자리경제과
494,평택시 사회적경제 육성 및 지원에 관한 조례,평택시,일부개정,조례,제1926호,2021. 2. 26.,2021. 2. 26.,미래전략관
495,포천시 노인 고독사 예방 및 사회적 고립 가구 지원에 관한 조례,포천시,일부개정,조례,제1390호,2021. 12. 29.,2022. 1. 13.,
496,포천시 사회적경제 육성 및 지원에 관한 조례,포천시,일부개정,조례,제1076호,2018. 8. 8.,2018. 8. 8.,일자리경제과
497,포항시 고독사 예방 및 사회적 고립가구 지원 조례,포항시,제정,조례,제1884호,2021. 6. 1.,2021. 6. 1.,복지정책과
498,포항시 사회적경제 육성 및 지원에 관한 조례,포항시,제정,조례,제1536호,2017. 12. 27.,2017. 12. 27.,일자리경제노동과
499,하남시 사회적경제 육성 지원에 관한 조례,하남시,일부개정,조례,제1900호,2021. 3. 12.,2021. 3. 12.,도시재생과
500,하동군 사회적경제 육성 및 지원에 관한 조례,하동군,일부개정,조례,제2374호,2019. 8. 30.,2019. 8. 30.,기획행정국 경제전략과
501,함안군 사회적기업 육성 및 지원에 관한 조례,함안군,일부개정,조례,제2708호,2022. 1. 3.,2022. 1. 3.,
502,함양군 사회적기업 육성 및 지원에 관한 조례,함양군,일부개정,조례,제2502호,2020. 12. 31.,2020. 12. 31.,일자리경제과
503,함평군 사회적경제 육성과 지원에 관한 조례,함평군,제정,조례,제2448호,2018. 11. 15.,2018. 11. 15.,일자리경제과
504,합천군 사회적경제 육성 및 지원에 관한 조례,합천군,제정,조례,제2587호,2021. 9. 24.,2021. 9. 24.,경제교통과
505,해남군 사회적경제 육성 및 지원에 관한 조례,해남군,일부개정,조례,제2992호,2021. 3. 9.,2021. 3. 9.,혁신공동체과
506,홍성군 사회적경제기업제품 구매촉진 및 판로지원에 관한 조례,홍성군,제정,조례,제2616호,2019. 4. 15.,2019. 4. 15.,일자리지원
507,홍성군 사회적기업 육성 및 지원에 관한 조례,홍성군,일부개정,조례,제2649호,2019. 10. 15.,2019. 10. 15.,일자리지원
508,홍천군 사회적 경제 육성 지원에 관한 조례,홍천군,일부개정,조례,제2631호,2019. 10. 14.,2019. 10. 14.,일자리경제과
509,화성시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,화성시,일부개정,조례,제1868호,2022. 1. 6.,2022. 1. 6.,
510,화성시 사회적경제 육성 및 지원에 관한 조례,화성시,일부개정,조례,제1867호,2022. 1. 6.,2022. 1. 6.,
511,화성시 사회적경제지원기금 설치 및 운용 조례,화성시,일부개정,조례,제1869호,2022. 1. 6.,2022. 1. 6.,
512,화순군 사회적경제 활성화 지원에 관한 조례,화순군,일부개정,조례,제2725호,2019. 12. 11.,2019. 12. 11.,일자리정책실
513,화천군 사회적기업 육성에 관한 조례,화천군,제정,조례,제2049호,2011. 11. 25.,2011. 11. 25.,지역경제과
514,횡성군 사회적경제 육성 지원에 관한 조례,횡성군,제정,조례,제2427호,2019. 7. 15.,2019. 7. 15.,기업경제과
515,횡성군 사회적 고립가구 지원 및 고독사 예방 조례,횡성군,제정,조례,제2440호,2019. 9. 27.,2019. 9. 27.,복지정책과
